ISBN,Book-Title,Book-Author
0060517794,Little Altars Everywhere,Rebecca Wells
0671537458,Waiting to Exhale,Terry McMillan
0679776818,Birdsong: A Novel of Love and War,Sebastian Faulks
0380711524,See Jane Run,Joy Fielding
3453092007,Die zweite Haut.,Dean Koontz
0553572369,Pay Dirt (Mrs. Murphy Mysteries (Paperback)),RITA MAE BROWN
3499230933,Adressat unbekannt.,Kathrine Kressmann Taylor
8478442588,El Elogio de La Sombra,Tanazaki
0345443683,"Blackwood Farm (Rice, Anne, Vampire Chronicles.)",ANNE RICE
043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling
055310666X,False Memory,Dean R. Koontz
0006379702,"My \Star Trek\"" Memories""",William Shatner
3548603203,Artemis Fowl.,Eoin Colfer
8423996565,La hija del CanÃ­bal,Rosa Montero
8426449476,El Diaro De Bridget Jones,Helen Fielding
8426449573,Bridget Jones:SobrevivirÃ©,Helen Fielding
8478885218,La Fiesta De Ralph,Lisa Jewell
0812571029,Uther (Camulod Chronicles),Jack Whyte
0060096195,The Boy Next Door,Meggin Cabot
0141310340,Skin and Other Stories (Now in Speak!),Roald Dahl
0142302198,Growing Wings,Laurel Winter
0375821813,Hoot (Newbery Honor Book),CARL HIAASEN
038076041X,A Kid's Guide to How to Save the Planet (Camelot world),Billy Goodman
0439401399,The Contest,Gordon Korman
0689804458,A String in the Harp,Nancy Bond
0786812508,The Sandy Bottom Orchestra,Jenny Nilson
0786817070,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer
3404148576,Nordermoor,Arnaldur Indridason
3404921178,Nur der Tod ist ohne Makel.,Ann Granger
3423071516,Der Kleine Hobbit,J. R. R. Tolkien
3442413508,Auf Ehre und Gewissen. Roman.,Elizabeth George
3442422035,Keiner werfe den ersten Stein. Roman.,Elizabeth George
3442435773,Denn keiner ist ohne Schuld.,Elizabeth George
3442437717,Asche zu Asche.,Elizabeth George
3442441080,Im Angesicht des Feindes.,Elizabeth George
3442444020,Denn sie betrÃ?Â¼gt man nicht.,Elizabeth George
3442446414,Mit dem KÃ?Â¼hlschrank durch Irland.,Tony Hawks
3442448530,Die HirnkÃ?Â¶nigin.,Thea Dorn
3442449820,Undank ist der VÃ?Â¤ter Lohn.,Elizabeth George
3453137442,Der Goldene Kompass / The Golden Compass,Philip Pullman
347354034X,Die Welle,Rhue
3551551677,Harry Potter und der Stein der Weisen,Joanne K. Rowling
3551551685,Harry Potter und die Kammer des Schreckens,Joanne K. Rowling
3551551693,Harry Potter und der Gefangene von Azkaban,J. K. Rowling
3551551936,Harry Potter Und Der Feuerkelch,Joanne K. Rowling
359621078X,Saemtliche Erzaehlungen,Franz Kafka
360893541X,Die Gefahrten I,J. R. R. Tolkien
3608935428,Die Zwei Turme II,J. R. R. Tolkien
3608935436,Die Wiederkehr Des Konigs III,J. R. R. Tolkien
0836218833,Attack Of The Deranged Mutant Killer Snow Goons,Bill Watterson
0836220889,Calvin and Hobbes,Bill Watterson
088365721X,"The Best of Bombeck: At Wit's End, Just Wait Until You Have Children of Your Own, I Lost Everything in the Post-Natal Depression",Erma Bombeck
3423201509,Die Weiss Lowin / Contemporary German Lit,Henning Mankell
3404126343,Die Krone der Welt.,Peter Berling
3404139178,Das Lacheln der Fortuna: Historischer Roman,Rebecca Gable
3442443806,Die StÃ?Â¶renfrieds. Geschichten von Leo und Paulina.,Amelie Fried
345309221X,Die Zauberin von Ruwenda.,Marion Zimmer Bradley
0425167097,Toxin,Robin Cook
042518109X,Whispers,Dean R. Koontz
0425188221,Shadowland,Peter Straub
8807810751,Piccoli Equivoci Senza Importanza: Piccoli Equivoci Senza Importanza,Tabucchi
8817106100,Oceano Mare,Alessandro Baricco
8838910987,Il birraio di Preston (La memoria),Andrea Camilleri
0440228840,Demon in My View (Laurel-Leaf Books),AMELIA ATWATER-RHODES
0440414121,The Watsons Go to Birmingham - 1963 (Yearling Newbery),CHRISTOPHER PAUL CURTIS
8420636282,El Principito,Antoine De Saint-Exupery
8432205311,El Perfume: Historia De UN Asesino/Perfume : The Story of a Murderer,Patrick Suskind
002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner
0140154078,The Music of Chance,Paul Auster
0385504209,The Da Vinci Code,Dan Brown
0553275283,Love Story,Erich Segal
063403541X,Bridget Jones's Diary: Music from the Motion Picture,Various
840149236X,Parque JurÃ¡sico,Michael Crichton
8420432113,Momo (Spanish Language Edition),Michael Ende
950491036X,La Sombra del Viento,Carlos Ruiz Zafon
059030271X,Charlotte's Web,E. B. White
0671021354,Child of the Hunt (Buffy the Vampire Slayer),Christopher Golden
0671026283,Visitors (Buffy the Vampire Slayer),Laura Anne Gilman
2020564777,Bouquiner : Autobiobibliographie,Annie FranÃ?Â§ois
2070386023,Le LiÃ?Â¨vre de Vatanen,Arto Paasilinna
2070404587,Le Liseur,Berhard Schlink
2253171670,Les RiviÃ?Â¨res pourpres,Jean-Christophe GrangÃ?Â©
