ISBN,Book-Title,Book-Author,Avg Rating,Num Ratings
0345339738,"The Return of the King (The Lord of the Rings, Part 3)",J.R.R. TOLKIEN,9.424657534246576,73
0439139597,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,9.304,125
0345339711,"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN,9.220779220779221,77
0439136350,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,9.125,128
0064400557,Charlotte's Web (Trophy Newbery),E. B. White,9.087719298245615,57
043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,9.062146892655367,177
0439136369,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,9.057851239669422,121
0590353403,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,9.027777777777779,108
0446310786,To Kill a Mockingbird,Harper Lee,9.011560693641618,173
0439139600,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,8.98989898989899,99
0441172717,Dune (Remembering Tomorrow),Frank Herbert,8.953846153846154,65
059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,8.937743190661479,257
0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,8.924242424242424,66
0439064864,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,8.90983606557377,122
0345339703,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN,8.868421052631579,114
0345348036,The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,WILLIAM GOLDMAN,8.864406779661017,59
0812550706,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,8.849462365591398,93
0345339681,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,8.825757575757576,132
0439064872,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,8.790123456790123,162
0451524934,1984,George Orwell,8.781609195402298,87
0671617028,The Color Purple,Alice Walker,8.763636363636364,55
0553296981,Anne Frank: The Diary of a Young Girl,ANNE FRANK,8.73913043478261,69
0380813815,"Lamb : The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,8.727272727272727,55
0440998050,A Wrinkle in Time,Madeleine L'Engle,8.688524590163935,61
0312265867,To the Nines: A Stephanie Plum Novel,Janet Evanovich,8.685185185185185,54
0440414806,Holes (Yearling Newbery),LOUIS SACHAR,8.677966101694915,59
0440219078,The Giver (21st Century Reference),LOIS LOWRY,8.65079365079365,63
0345342968,Fahrenheit 451,RAY BRADBURY,8.64516129032258,124
0070212570,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,8.635135135135135,74
0380002930,Watership Down,Richard Adams,8.630952380952381,84
0385484518,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,8.628378378378379,148
0440212561,Outlander,DIANA GABALDON,8.619047619047619,84
0440215625,Dragonfly in Amber,DIANA GABALDON,8.619047619047619,63
0345350499,The Mists of Avalon,MARION ZIMMER BRADLEY,8.58108108108108,74
0553272535,Night,Elie Wiesel,8.578125,64
0142004235,East of Eden (Oprah's Book Club),John Steinbeck,8.557692307692308,52
0451169530,The Stand: Complete and Uncut,Stephen King,8.533333333333333,60
0345361792,A Prayer for Owen Meany,John Irving,8.518248175182482,137
0449212602,The Handmaid's Tale,Margaret Atwood,8.516129032258064,93
0743227441,The Other Boleyn Girl,Philippa Gregory,8.507692307692308,65
0525947647,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,8.5,54
0060915544,The Bean Trees,Barbara Kingsolver,8.494623655913978,93
1400031354,Tears of the Giraffe (No.1 Ladies Detective Agency),Alexander McCall Smith,8.494117647058824,85
0671041789,The Green Mile,Stephen King,8.49367088607595,79
0142001740,The Secret Life of Bees,Sue Monk Kidd,8.485232067510548,237
0671727796,The Color Purple,Alice Walker,8.482142857142858,56
1592400876,"Eats, Shoots &amp; Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,8.481481481481481,54
0385504209,The Da Vinci Code,Dan Brown,8.472440944881889,381
0553375407,Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn,8.457627118644067,59
0316693006,Four Blind Mice,James Patterson,8.450980392156863,51
0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,8.448275862068966,87
0312422156,Middlesex: A Novel,Jeffrey Eugenides,8.442307692307692,52
